City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Albany,US,2021-03-23 15:44:00,42.6001,-73.9662,57.99,29,27,4.47
108,Praia,CV,2021-03-23 15:46:26,14.9215,-23.5087,77.0,53,40,19.57
109,Minsk,BY,2021-03-23 15:42:27,53.9,27.5667,37.4,28,0,8.95
110,Moengo,SR,2021-03-23 15:46:26,5.6167,-54.4,77.13,92,98,3.94
111,Vao,NC,2021-03-23 15:46:27,-22.6667,167.4833,75.18,68,100,14.9
112,Cape Town,ZA,2021-03-23 15:46:27,-33.9258,18.4232,87.01,50,0,12.66
113,Bato,PH,2021-03-23 15:46:28,13.3528,123.3677,74.71,92,84,3.69
114,Markova,UA,2021-03-23 15:46:28,48.6758,24.4138,35.01,80,75,13.42
115,Richards Bay,ZA,2021-03-23 15:46:28,-28.783,32.0377,69.49,75,45,4.92
116,Pangkalanbuun,ID,2021-03-23 15:46:29,-2.6833,111.6167,75.29,97,100,0.58
117,Lethem,GY,2021-03-23 15:46:29,3.3803,-59.7968,80.6,78,90,13.8
118,Mocuba,MZ,2021-03-23 15:46:29,-16.8392,36.9856,73.33,92,72,4.85
119,Paita,PE,2021-03-23 15:46:30,-5.0892,-81.1144,86.0,54,0,8.05
120,Mitsamiouli,KM,2021-03-23 15:46:30,-11.3847,43.2844,82.89,72,94,3.33
121,Shubarkuduk,KZ,2021-03-23 15:46:32,49.1447,56.4872,23.56,92,99,10.38
122,Naze,JP,2021-03-23 15:46:32,28.3667,129.4833,56.77,58,98,8.57
123,Mareeba,AU,2021-03-23 15:46:32,-17.0,145.4333,80.6,74,90,3.44
124,Olafsvik,IS,2021-03-23 15:46:33,64.8945,-23.7142,35.06,64,72,7.49
125,Isangel,VU,2021-03-23 15:46:33,-19.55,169.2667,73.4,88,20,9.8
126,Suhut,TR,2021-03-23 15:46:34,38.5311,30.5458,34.77,98,100,10.13
127,George,ZA,2021-03-23 15:46:34,-33.963,22.4617,71.6,73,20,16.11
128,Airai,TL,2021-03-23 15:46:34,-8.9266,125.4092,60.73,93,83,1.25
129,Tamandare,BR,2021-03-23 15:46:35,-8.7597,-35.1047,84.61,60,42,8.77
130,Puerto Ayora,EC,2021-03-23 15:46:35,-0.7393,-90.3518,80.01,94,75,4.61
131,Liverpool,GB,2021-03-23 15:45:04,53.4106,-2.9779,53.6,66,99,14.97
132,Byron Bay,AU,2021-03-23 15:46:35,-28.65,153.6167,73.4,94,43,10.04
133,Mount Isa,AU,2021-03-23 15:46:36,-20.7333,139.5,78.8,83,90,6.91
134,Kirovskaya,RU,2021-03-23 15:46:36,46.9748,40.0402,37.99,75,75,8.95
135,Shache,CN,2021-03-23 15:46:36,38.4167,77.2406,52.9,28,78,2.15
136,Bethel,US,2021-03-23 15:46:37,41.3712,-73.414,60.01,44,1,3.56
137,Barao De Melgaco,BR,2021-03-23 15:46:37,-16.1944,-55.9675,82.4,65,20,4.61
138,Verkhoyansk,RU,2021-03-23 15:46:37,67.5447,133.385,-14.28,95,100,3.8
139,Northam,GB,2021-03-23 15:46:37,51.0333,-4.2167,54.0,73,48,4.0
140,Belaya Gora,RU,2021-03-23 15:46:38,68.5333,146.4167,-10.82,91,100,11.79
141,Huarmey,PE,2021-03-23 15:46:38,-10.0681,-78.1522,75.7,71,98,10.2
142,Moissala,TD,2021-03-23 15:46:38,8.3404,17.7663,87.78,44,50,6.35
143,Rawson,AR,2021-03-23 15:46:39,-43.3002,-65.1023,84.74,19,50,27.96
144,Norrtalje,SE,2021-03-23 15:46:39,59.758,18.705,57.2,41,0,11.5
145,Butaritari,KI,2021-03-23 15:46:40,3.0707,172.7902,80.98,80,32,20.38
146,Iqaluit,CA,2021-03-23 15:46:40,63.7506,-68.5145,-18.0,57,40,20.71
147,Samarai,PG,2021-03-23 15:46:40,-10.6167,150.6667,82.13,80,100,11.1
148,Altay,CN,2021-03-23 15:46:41,47.8667,88.1167,38.68,57,100,6.69
149,Kununurra,AU,2021-03-23 15:46:41,-15.7667,128.7333,78.8,100,93,1.14
150,Dikson,RU,2021-03-23 15:46:42,73.5069,80.5464,-22.67,96,59,6.96
151,Severo-Kurilsk,RU,2021-03-23 15:46:42,50.6789,156.125,22.93,79,20,7.7
152,Kismayo,SO,2021-03-23 15:46:42,-0.3582,42.5454,81.32,78,41,13.65
153,Flin Flon,CA,2021-03-23 15:44:11,54.7682,-101.865,-4.0,59,1,8.05
154,Kruisfontein,ZA,2021-03-23 15:46:43,-34.0033,24.7314,73.0,68,0,8.99
155,Ferme-Neuve,CA,2021-03-23 15:46:43,46.7001,-75.4493,59.0,25,65,4.61
156,Fortuna,US,2021-03-23 15:46:44,40.5982,-124.1573,42.01,87,1,5.61
157,Kaitangata,NZ,2021-03-23 15:46:44,-46.2817,169.8464,53.04,93,100,3.44
